Season,Seed,TeamID
2020,W01,1173
2020,W02,1199
2020,W03,1437
2020,W04,1268
2020,W05,1139
2020,W06,1336
2020,W07,1452
2020,W08,1160
2020,W09,1196
2020,W10,1429
2020,W11a,1301
2020,W11b,1417
2020,W12a,1400
2020,W12b,1350
2020,W13,1103
2020,W14,1220
2020,W15,1297
2020,W16a,1131
2020,W16b,1352
2020,X01,1242
2020,X02,1246
2020,X03,1181
2020,X04,1458
2020,X05,1120
2020,X06,1234
2020,X07,1344
2020,X08,1222
2020,X09,1266
2020,X10,1113
2020,X11,1190
2020,X12,1251
2020,X13,1317
2020,X14,1125
2020,X15,1295
2020,X16,1373
2020,Y01,1124
2020,Y02,1166
2020,Y03,1277
2020,Y04,1257
2020,Y05,1326
2020,Y06,1438
2020,Y07,1228
2020,Y08,1388
2020,Y09,1353
2020,Y10,1425
2020,Y11,1153
2020,Y12,1372
2020,Y13,1436
2020,Y14,1133
2020,Y15,1114
2020,Y16,1457
2020,Z01,1211
2020,Z02,1361
2020,Z03,1371
2020,Z04,1332
2020,Z05,1276
2020,Z06,1140
2020,Z07,1112
2020,Z08,1261
2020,Z09,1328
2020,Z10,1403
2020,Z11,1231
2020,Z12,1463
2020,Z13,1308
2020,Z14,1186
2020,Z15,1414
2020,Z16a,1341
2020,Z16b,1300
