,Appearance Probability,Appearance Probability,Appearance Probability,Appearance Probability,Appearance Probability,Appearance Probability,Appearance Probability
Round,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
TeamName,,,,,,,
Dayton,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Baylor,100.0,100.0,100.0,100.0,100.0,100.0,0.0
San Diego St,100.0,100.0,100.0,100.0,100.0,0.0,0.0
Wisconsin,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ETSU,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Florida St,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Michigan,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Michigan St,100.0,100.0,100.0,100.0,0.0,0.0,0.0
BYU,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Butler,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Gonzaga,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Houston,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Kentucky,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Louisville,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Penn St,100.0,100.0,100.0,0.0,0.0,0.0,0.0
USC,100.0,100.0,100.0,0.0,0.0,0.0,0.0
Akron,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Ark Little Rock,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Belmont,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Kansas,100.0,100.0,0.0,0.0,0.0,0.0,0.0
LSU,100.0,100.0,0.0,0.0,0.0,0.0,0.0
New Mexico St,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio St,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Providence,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Seton Hall,100.0,100.0,0.0,0.0,0.0,0.0,0.0
St Mary's CA,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Tech,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Villanova,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Virginia,100.0,100.0,0.0,0.0,0.0,0.0,0.0
West Virginia,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona St,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Univ,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Creighton,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Duke,100.0,0.0,0.0,0.0,0.0,0.0,0.0
E Washington,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Hofstra,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberty,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquette,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland,100.0,0.0,0.0,0.0,0.0,0.0,0.0
N Dakota St,100.0,0.0,0.0,0.0,0.0,0.0,0.0
N Kentucky,100.0,0.0,0.0,0.0,0.0,0.0,0.0
NC State,100.0,0.0,0.0,0.0,0.0,0.0,0.0
North Texas,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Prairie View,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Richmond,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutgers,100.0,0.0,0.0,0.0,0.0,0.0,0.0
SF Austin,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Siena,100.0,0.0,0.0,0.0,0.0,0.0,0.0
UC Irvine,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah St,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermont,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Winthrop,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Yale,100.0,0.0,0.0,0.0,0.0,0.0,0.0
NC Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Morris,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
